memory_usage_Portal Physical_Memory_prct_used_Portal
cpu_usage_Portal cpu_prct_used_Portal
Physical_Memory_prct_used_Portal 0_C_read_Portal
cpu_prct_used_Portal 0_C_read_Portal
memory_usage_VDI Physical_Memory_prct_used_VDI
cpu_usage_VDI cpu_prct_used_VDI
Physical_Memory_prct_used_VDI 0_C_read_VDI
cpu_prct_used_VDI 0_C_read_VDI
Physical_Memory_prct_used_Portal Chargement_portail
cpu_prct_used_Portal Chargement_portail
0_C_read_Portal Chargement_portail
Physical_Memory_prct_used_VDI Chargement_IE
cpu_prct_used_VDI Chargement_IE
0_C_read_VDI Chargement_IE
Chargement_portail Default_Transaction
Chargement_IE Default_Transaction
