timestamp,memory_usage_Portal,cpu_usage_Portal,Physical_Memory_prct_used_Portal,cpu_prct_used_Portal,0_C_read_Portal,memory_usage_VDI,cpu_usage_VDI,Physical_Memory_prct_used_VDI,cpu_prct_used_VDI,0_C_read_VDI,Chargement_portail,Chargement_IE,Default_Transaction
2023-04-06 15:00:00,1.2,0.0,51.1,2.575,0.0,2.3,0.0,62.0,3.15,0.0,1.712,16.958,58.91
2023-04-06 15:05:00,1.2,0.0,51.5,2.375,0.0,2.3,0.0,62.200334,3.2,0.0,1.712,16.958,58.91
2023-04-06 15:10:00,1.2,0.0,51.6,2.325,0.0,2.3,0.0,62.2,2.55,0.0,1.712,16.958,58.91
2023-04-06 15:15:00,1.2,0.0,51.1,2.375,6.398664,2.3,0.0,62.0,2.25,0.0,1.712,16.958,58.91
2023-04-06 15:20:00,1.2,0.0,51.1,2.025,6.398664,2.3,0.0,62.0,2.25,0.0,1.712,16.958,58.91
2023-04-06 15:25:00,1.2,0.0,51.2,2.2,0.0,2.3,0.0,62.200334,2.35,0.0,1.712,16.958,58.91
2023-04-06 15:30:00,1.2,0.0,51.4,2.35,0.0,2.3,0.0,62.2,2.25,0.0,1.712,16.958,58.91
2023-04-06 15:35:00,1.2,0.0,51.8,2.175,0.0,2.3,0.0,62.0,2.3,0.0,1.712,16.958,58.91
2023-04-06 15:40:00,1.2,0.0,51.6,2.4,0.0,2.3,0.0,62.0,2.3,0.0,1.712,16.958,58.91
2023-04-06 15:45:00,1.2,0.0,51.4,2.475376,0.0,2.3,0.0,62.0,2.3,0.0,1.712,16.958,58.91
2023-04-06 15:50:00,1.2,0.0,51.5,2.149833,0.0,2.3,0.0,62.0,2.350584,0.0,1.712,16.958,58.91
2023-04-06 15:55:00,1.2,0.0,51.2,2.4,0.0,2.3,0.0,62.0,2.350584,0.0,1.712,16.958,58.91
2023-04-06 16:00:00,1.2,0.0,51.5,2.775,0.0,2.3,0.0,62.0,3.1,0.0,1.712,16.958,58.91
2023-04-06 16:05:00,1.2,0.1001669999999999,52.0,2.55,0.0,2.3,0.0,62.0,3.0,0.0,1.712,16.958,58.91
2023-04-06 16:10:00,1.2,0.500835,52.0,2.3,0.0,2.32,0.1,62.1,2.9,0.0,1.712,16.958,58.91
2023-04-06 16:15:00,1.2,0.4,52.0,2.4,0.0,2.36995,0.5,62.3,3.15025,0.0,1.712,16.958,58.91
2023-04-06 16:20:00,1.2,0.0,52.0,2.25,1.598664,2.4,1.0,61.8,10.374582,1749.404,2.123,23.6105,71.8555
2023-04-06 16:25:00,1.2,0.0,51.6,2.15,1.596,2.4,1.5,63.1,22.432387,1749.404,2.6075,23.5415,72.7355
2023-04-06 16:30:00,1.2,0.0,51.6,2.45,0.0,2.4,0.9,64.0,14.4,0.0,2.719,18.223,61.363
2023-04-06 16:35:00,1.2,0.0,52.0,2.3,0.0,2.4,0.0,63.0,4.629382,24.869,2.757,19.626,62.056
2023-04-06 16:40:00,1.2,0.0,51.6,2.15025,0.0,2.4,0.0,63.0,4.729549,24.869,2.757,19.626,62.056
2023-04-06 16:45:00,1.2,0.0,51.2,2.350584,0.0,2.4,0.0,63.6,4.954925,0.0,2.727,17.726,60.11600000000001
2023-04-06 16:50:00,1.2,0.0,51.599332,2.2,0.0,2.4,0.0,63.6,5.105175,0.0,2.697,15.826,58.176
2023-04-06 16:55:00,1.2,0.0,51.799666,2.299666,0.0,2.4,0.0,63.1,6.25,0.0,2.188,15.2165,56.99100000000001
2023-04-06 17:00:00,1.2,0.0,51.8,2.900668,0.0,2.4,0.0,62.6,6.907346,0.0,2.241,15.137,57.035
2023-04-06 17:05:00,1.2,0.0,52.0,2.825125,0.0,2.4,0.0,62.6,5.855593,0.0,2.803,15.667,58.264
2023-04-06 17:10:00,1.2,0.0,51.6,2.524624,0.0,2.4,0.0,62.8,4.95,0.0,2.803,15.667,58.264
2023-04-06 17:15:00,1.2,0.0,51.2,2.525,0.0,2.4,0.0,62.0,4.75,169.69400000000002,2.2235,13.682,55.5605
2023-04-06 17:20:00,1.2,0.0,51.6,2.325,0.0,2.4,0.0,61.7,4.7,169.69400000000002,1.644,11.697,52.857
2023-04-06 17:25:00,1.2,0.0,51.8,2.4,0.0,2.4,0.0,61.8,5.507512999999999,65.008,2.194,11.739,53.703
2023-04-06 17:30:00,1.2,0.0,51.8,2.452003,0.0,2.4,0.0,61.7,5.707846,65.008,2.7475,13.8465,56.464
2023-04-06 17:35:00,1.2,0.0,52.0,2.151503,0.0,2.4,0.0,61.6,5.05,0.0,2.7510000000000003,15.912,58.379
2023-04-06 17:40:00,1.2,0.0,52.0,2.325,0.0,2.4,0.0,61.8,4.7,0.0,2.7510000000000003,15.912,58.379
2023-04-06 17:45:00,1.2,0.0,52.0,2.55,0.0,2.4,0.0,62.0,4.683612,0.0,2.76,15.1925,57.736
2023-04-06 17:50:00,1.2,0.0,52.0,2.2,0.0,2.4,0.0,62.0,4.778875,0.0,2.769,14.473,57.093
2023-04-06 17:55:00,1.23,0.4,51.6,3.975,104.301,2.4,0.0,62.6,5.005008,0.0,2.716427,13.232276999999998,55.60393199999999
2023-04-06 18:00:00,1.28,1.0,51.1,4.475,104.301,2.4,0.0,62.6,5.6,0.0,2.7075,11.366,53.6185
2023-04-06 18:05:00,1.3,0.601002,51.0,2.475,0.0,2.4,0.0,62.0,6.05,96.421,2.7510000000000003,10.737,53.118
2023-04-06 18:10:00,1.3,0.0,51.0,2.175,0.0,2.4,0.0,62.0,5.5,96.421,2.7510000000000003,10.737,53.118
2023-04-06 18:15:00,1.3,0.0,51.0,2.4,0.0,2.4,0.0,62.0,4.835559,0.0,2.7835,10.689,53.1095
2023-04-06 18:20:00,1.3,0.0,51.0,2.275,0.0,2.4,0.0,61.702341,5.1861440000000005,99.038,2.8160000000000003,10.640999999999998,53.101000000000006
2023-04-06 18:25:00,1.3,0.0,51.0,2.174457,0.0,2.4,0.0,61.502513,5.95,99.038,2.7705,13.2805,56.3305
2023-04-06 18:30:00,1.3,0.0,51.2,2.5,0.0,2.4,0.0,61.401338,5.45,0.0,2.725,15.92,59.56
2023-04-06 18:35:00,1.3,0.0,51.6,2.325,0.0,2.4,0.0,62.30217,4.852254,0.0,2.739,22.574,64.316
2023-04-06 18:40:00,1.3,0.0,51.4,1.975,0.0,2.4,0.0,62.4,4.952421,0.0,2.739,22.574,64.316
2023-04-06 18:45:00,1.3,0.0,51.3,2.375,0.0,2.4,0.0,61.5,4.6,0.0,2.766692,17.547846,59.841846
2023-04-06 18:50:00,1.3,0.0,51.8,2.35,0.0,2.4,0.0,61.4,4.95,0.0,2.799,11.684,54.622
2023-04-06 18:55:00,1.3,0.0,51.7,2.149833,0.0,2.4,0.0,62.7,5.7,0.0,1.499,15.871,57.196000000000005
2023-04-06 19:00:00,1.3,0.0,51.7,2.676003,0.0,2.4,0.0,63.1,6.107679,0.0,1.499,15.871,57.196000000000005
2023-04-06 19:05:00,1.3,0.2003339999999999,52.0,3.025876,0.0,2.4,0.0,61.8,5.306344,0.0,2.125,15.8285,58.697
2023-04-06 19:10:00,1.3,0.5,52.0,2.625,0.0,2.4,0.0,61.6,5.305509,0.0,2.7510000000000003,15.786,60.198
2023-04-06 19:15:00,1.3,0.3,52.0,2.275,0.0,2.4,0.5,62.9,5.305509,0.0,2.881667,15.065333,58.425333
2023-04-06 19:20:00,1.3,0.0,52.0,2.2,0.0,2.4,0.4991649999999999,63.1,4.6,0.0,2.947,14.705,57.539
2023-04-06 19:25:00,1.3,0.0,52.0,2.3,0.0,2.4,0.0,62.0,5.75,0.0,2.8495,12.7235,55.089
2023-04-06 19:30:00,1.3,0.0,52.0,2.525459,0.0,2.4,0.0,61.8,5.7,0.0,2.752,10.742,52.639
2023-04-06 19:35:00,1.3,0.0,52.0,2.200669,0.0,2.4,0.0,62.7,4.7,0.0,2.742,15.890999999999998,58.997
2023-04-06 19:40:00,1.3,0.0,52.0,2.17571,0.0,2.4,0.0,62.7,4.75,0.0,2.742,15.890999999999998,58.997
2023-04-06 19:45:00,1.3,0.0,52.0,2.475,0.0,2.4,0.0,61.799666,4.75,0.0,2.2030000000000003,15.2925,57.091
2023-04-06 19:50:00,1.3,0.0,52.0,2.225,0.0,2.4,0.0,62.0,4.75,0.0,1.664,14.694,55.185
