timestamp,ram_global_prct,cpu_global_prct,disk_io_read_mega_byte,disk_io_write_mega_byte,consumers_causality_1,messages_causality_1,publish_rate_causality_1
1638884583,76.0,2.6,326608.52,83692.31,0,0,0.0
1638884584,76.5,5.0,326608.52,83692.32,41,0,0.0
1638884586,76.4,2.9,326608.52,83692.32,41,0,1.2
1638884587,76.6,4.6,326608.52,83692.32,6,0,1.2
1638884588,76.6,4.1,326608.52,83692.45,6,0,1.2
1638884589,76.6,5.2,326608.52,83692.47,6,49,1.2
1638884590,76.9,5.5,326608.52,83692.64,27,49,5.6
1638884591,76.8,3.3,326608.52,83692.65,27,49,5.6
1638884592,76.8,8.5,326608.52,83692.65,27,49,5.6
1638884593,77.2,14.4,326608.52,83692.65,18,49,5.6
1638884594,77.1,9.8,326608.52,83692.93,18,162,5.6
1638884595,76.9,4.4,326608.52,83693.06,18,162,16.4
1638884596,77.1,4.4,326608.54,83693.06,20,162,16.4
1638884597,77.1,1.8,326608.54,83693.07,20,162,16.4
1638884598,77.1,2.6,326608.54,83693.07,20,162,16.4
1638884599,77.3,5.4,326608.54,83693.07,38,340,16.4
1638884600,77.3,2.6,326608.54,83693.07,38,340,33.4
1638884601,77.3,3.2,326608.54,83693.14,38,340,33.4
1638884602,77.5,4.7,326608.54,83693.14,16,340,33.4
1638884603,77.5,3.6,326608.54,83693.15,16,340,33.4
1638884604,77.6,4.4,326608.54,83693.41,16,589,33.4
1638884605,77.7,6.4,326608.54,83693.5,15,589,44.0
1638884606,77.7,9.6,326608.54,83693.81,15,589,44.0
1638884607,78.0,13.3,326608.91,83693.81,15,589,44.0
1638884608,78.3,77.3,326609.73,83693.81,24,589,44.0
1638884609,78.2,64.7,326612.82,83693.95,24,902,59.8
1638884611,78.1,34.3,326612.82,83693.95,0,902,59.8
1638884612,78.3,7.0,326612.82,83693.95,35,902,59.8
1638884613,78.2,3.2,326612.82,83693.95,35,902,59.8
1638884614,78.4,5.2,326612.82,83693.95,45,1280,59.8
1638884615,78.5,4.8,326612.82,83698.92,45,1280,73.4
1638884616,78.5,1.8,326612.82,83698.92,45,1280,73.4
1638884617,78.7,5.0,326612.82,83698.93,45,1280,73.4
1638884618,78.7,4.2,326612.82,83699.36,45,1280,73.4
1638884619,78.8,4.1,326612.82,83699.36,45,1729,73.4
1638884620,78.9,4.5,326612.82,83699.38,24,1729,86.2
1638884621,78.9,3.0,326612.82,83699.38,24,1729,86.2
1638884622,78.9,4.0,326612.82,83699.38,24,1729,86.2
1638884623,79.1,5.6,326612.82,83699.57,10,1729,86.2
1638884624,79.2,7.6,326612.82,83699.57,10,2226,86.2
1638884625,79.2,8.3,326612.82,83700.07,10,2226,100.2
1638884626,79.4,6.9,326612.82,83700.17,31,2226,100.2
1638884627,79.4,3.2,326612.82,83700.18,31,2226,100.2
1638884628,79.3,3.3,326612.82,83700.31,31,2226,100.2
1638884629,79.6,7.8,326612.82,83700.31,45,2784,100.2
1638884630,79.6,3.8,326612.82,83700.31,45,2784,109.2
1638884631,79.6,6.6,326612.83,83700.31,45,2784,109.2
1638884632,79.8,12.6,326612.98,83700.31,31,2784,109.2
1638884633,79.8,13.9,326612.98,83700.42,31,2784,109.2
1638884634,79.7,10.2,326612.98,83700.42,31,3413,109.2
1638884635,79.9,7.7,326612.98,83713.52,21,3413,112.2
1638884636,80.0,27.8,326612.98,83713.52,21,3413,112.2
1638884638,79.9,13.5,326612.98,83713.52,21,3413,112.2
1638884639,80.1,11.2,326612.98,83713.52,29,3413,112.2
1638884640,80.1,7.9,326612.98,83714.52,29,4103,137.0
1638884641,80.2,22.1,326612.98,83714.52,0,4103,137.0
1638884642,80.4,29.4,326613.18,83714.52,38,4103,137.0
1638884643,80.4,24.7,326613.18,83714.52,38,4103,137.0
1638884644,80.5,9.1,326613.18,83714.59,3,4846,137.0
1638884645,80.6,9.4,326613.18,83714.59,3,4846,140.6
1638884646,80.6,4.5,326613.18,83714.59,3,4846,140.6
1638884647,80.8,6.1,326613.18,83714.59,8,4846,140.6
1638884648,80.8,9.5,326613.5,83714.59,30,4846,140.6
1638884649,80.9,6.0,326613.5,83714.66,30,5660,140.6
1638884650,81.0,6.1,326613.5,83714.66,15,5660,161.4
1638884651,81.0,4.8,326613.5,83714.66,24,5660,161.4
1638884652,81.0,4.2,326613.5,83714.66,24,5660,161.4
1638884653,81.2,5.6,326613.5,83714.66,8,5660,161.4
1638884654,81.3,6.4,326613.5,83714.75,48,6539,161.4
1638884655,81.3,4.3,326613.5,83714.75,48,6539,160.4
1638884656,81.5,6.4,326613.5,83714.75,8,6539,160.4
1638884657,81.5,4.0,326613.5,83714.75,8,6539,160.4
1638884658,81.5,7.9,326613.5,83714.75,8,6539,160.4
1638884659,81.8,11.3,326613.5,83714.81,21,7482,160.4
1638884660,81.8,8.7,326613.5,83715.05,21,7482,184.0
1638884661,81.7,4.6,326613.5,83715.05,21,7482,184.0
1638884662,82.0,13.4,326613.5,83715.05,49,7482,184.0
1638884663,82.0,16.4,326613.5,83715.05,49,7482,184.0
1638884664,82.1,42.6,326613.5,83715.05,49,8497,184.0
1638884665,82.3,15.2,326613.5,83715.26,24,8497,211.8
1638884667,82.3,37.8,326613.5,83715.36,24,8497,211.8
