message_dispatcher,metric_insertion,status_metric_extraction
0.418,0.517,0.286
0.41,0.523,0.274
0.403,0.529,0.288
0.41,0.506,0.293
0.394,0.514,0.29
0.397,0.509,0.288
0.404,0.516,0.3
0.406,0.522,0.308
0.401,0.516,0.323
0.411,0.518,0.318
0.415,0.524,0.31
0.415,0.532,0.29
0.419,0.534,0.287
0.425,0.539,0.292
0.451,0.546,0.281
0.473,0.525,0.282
0.48,0.533,0.289
0.478,0.532,0.294
0.483,0.521,0.282
0.469,0.53,0.282
0.46,0.525,0.283
0.459,0.526,0.284
0.447,0.528,0.286
0.451,0.521,0.281
0.418,0.521,0.285
0.43,0.526,0.288
0.415,0.528,0.288
0.4,0.52,0.29
0.403,0.508,0.288
0.41,0.52,0.282
0.412,0.518,0.293
0.403,0.514,0.298
0.402,0.539,0.293
0.406,0.53,0.277
0.395,0.518,0.273
0.398,0.497,0.272
0.395,0.501,0.277
0.409,0.511,0.277
0.413,0.519,0.285
0.428,0.531,0.298
0.426,0.547,0.301
0.433,0.521,0.298
0.43,0.523,0.298
0.421,0.532,0.309
0.416,0.518,0.297
0.416,0.519,0.301
0.42,0.509,0.298
0.413,0.51,0.288
0.403,0.512,0.282
0.397,0.507,0.283
0.402,0.503,0.265
0.419,0.521,0.265
0.418,0.51,0.261
0.413,0.506,0.267
0.421,0.516,0.275
0.426,0.512,0.281
0.414,0.509,0.28
0.411,0.499,0.281
0.42,0.497,0.277
0.409,0.502,0.284
0.416,0.504,0.287
0.414,0.521,0.295
0.44,0.516,0.288
0.417,0.53,0.289
0.421,0.537,0.272
0.428,0.535,0.28
0.429,0.523,0.281
0.426,0.532,0.291
0.419,0.547,0.286
0.427,0.529,0.288
0.427,0.529,0.286
0.42,0.525,0.285
0.41,0.511,0.281
0.406,0.498,0.276
0.406,0.519,0.271
0.425,0.529,0.274
0.414,0.508,0.279
0.412,0.517,0.284
0.422,0.53,0.282
0.42,0.518,0.284
0.423,0.516,0.282
0.416,0.52,0.278
0.415,0.521,0.286
0.408,0.517,0.278
0.409,0.501,0.277
0.431,0.5,0.281
0.433,0.521,0.286
0.446,0.507,0.29
0.456,0.511,0.289
0.446,0.509,0.29
0.438,0.494,0.288
0.422,0.496,0.287
0.422,0.499,0.286
0.425,0.503,0.291
0.414,0.516,0.273
0.41,0.522,0.27
0.402,0.5,0.28
0.406,0.501,0.278
0.413,0.509,0.303
0.414,0.522,0.294
0.423,0.501,0.285
0.419,0.509,0.273
0.418,0.503,0.271
0.423,0.506,0.277
0.415,0.519,0.276
0.414,0.503,0.28
0.4,0.507,0.278
0.399,0.504,0.279
0.395,0.506,0.284
0.401,0.501,0.287
0.409,0.517,0.291
0.405,0.506,0.283
0.418,0.511,0.281
0.427,0.508,0.285
0.417,0.51,0.276
0.417,0.51,0.275
0.418,0.506,0.275
0.418,0.507,0.271
0.423,0.51,0.268
0.416,0.499,0.271
0.426,0.504,0.269
0.405,0.498,0.271
0.401,0.511,0.274
0.408,0.505,0.281
0.416,0.497,0.272
0.405,0.504,0.273
0.404,0.516,0.269
0.402,0.543,0.274
0.401,0.523,0.266
0.407,0.508,0.277
0.405,0.503,0.28
0.408,0.521,0.281
0.41,0.515,0.276
0.405,0.497,0.282
0.413,0.515,0.289
0.397,0.503,0.296
0.394,0.504,0.301
0.395,0.503,0.293
0.403,0.518,0.29
0.406,0.523,0.288
0.393,0.537,0.292
0.397,0.528,0.282
0.402,0.528,0.277
0.402,0.519,0.278
0.395,0.507,0.281
0.414,0.509,0.285
0.424,0.508,0.277
0.429,0.523,0.278
0.421,0.517,0.269
0.42,0.514,0.278
0.416,0.511,0.275
0.411,0.494,0.277
0.416,0.503,0.282
0.4,0.499,0.283
0.407,0.5,0.279
0.411,0.497,0.273
0.407,0.507,0.272
0.405,0.51,0.258
