group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.283,0.453,0.286
0.288,0.443,0.287
0.29,0.45,0.289
0.298,0.458,0.299
0.291,0.451,0.307
0.287,0.455,0.303
0.298,0.436,0.304
0.289,0.435,0.31
0.296,0.419,0.285
0.287,0.426,0.281
0.285,0.415,0.281
0.298,0.423,0.284
0.295,0.429,0.284
0.287,0.409,0.279
0.295,0.414,0.28
0.309,0.415,0.285
0.311,0.407,0.294
0.311,0.41,0.289
0.298,0.426,0.287
0.299,0.438,0.281
0.294,0.448,0.295
0.307,0.459,0.289
0.307,0.462,0.291
0.294,0.467,0.283
0.297,0.458,0.285
0.301,0.449,0.285
0.3,0.479,0.307
0.302,0.472,0.313
0.305,0.487,0.319
0.306,0.491,0.308
0.312,0.484,0.311
0.321,0.488,0.301
0.303,0.48,0.298
0.299,0.463,0.295
0.298,0.465,0.293
0.298,0.479,0.324
0.295,0.467,0.315
0.298,0.475,0.318
0.292,0.482,0.32
0.309,0.476,0.308
0.297,0.479,0.299
0.287,0.463,0.291
0.293,0.456,0.298
0.302,0.466,0.292
0.306,0.471,0.294
0.29,0.475,0.295
0.291,0.457,0.281
0.292,0.447,0.276
0.296,0.441,0.282
0.303,0.43,0.283
0.297,0.432,0.283
0.296,0.433,0.29
0.289,0.441,0.296
0.288,0.457,0.301
0.294,0.441,0.288
0.295,0.451,0.291
0.289,0.456,0.29
0.289,0.446,0.286
0.287,0.442,0.29
0.283,0.437,0.285
0.283,0.44,0.289
0.289,0.433,0.291
0.299,0.433,0.284
0.283,0.439,0.282
0.293,0.437,0.287
0.289,0.434,0.291
0.284,0.429,0.296
0.287,0.434,0.304
0.288,0.429,0.311
0.278,0.433,0.304
0.276,0.445,0.303
0.281,0.444,0.316
0.279,0.435,0.309
0.285,0.45,0.317
0.285,0.44,0.3
0.279,0.444,0.296
0.288,0.438,0.294
0.291,0.435,0.293
0.305,0.44,0.303
0.3,0.436,0.307
0.291,0.427,0.315
0.293,0.427,0.308
0.291,0.429,0.292
0.299,0.424,0.287
0.287,0.425,0.295
0.282,0.444,0.298
0.279,0.446,0.301
0.284,0.453,0.296
0.274,0.44,0.286
0.276,0.444,0.278
0.275,0.432,0.275
0.282,0.43,0.273
0.278,0.432,0.278
0.286,0.438,0.268
0.288,0.447,0.275
0.281,0.432,0.281
0.283,0.424,0.285
0.309,0.43,0.295
0.3,0.433,0.291
0.29,0.452,0.292
0.283,0.463,0.286
0.283,0.464,0.29
0.281,0.463,0.296
0.285,0.447,0.282
0.281,0.444,0.292
0.276,0.443,0.294
0.274,0.443,0.294
0.276,0.432,0.274
0.276,0.453,0.278
0.283,0.455,0.274
0.285,0.447,0.268
0.276,0.445,0.264
0.26,0.441,0.264
