message_dispatcher,metric_insertion,status_metric_extraction
0.442,0.523,0.0
0.436,0.524,0.0
0.435,0.528,0.0
0.43,0.533,1.0
0.449,0.53,1.0
0.432,0.541,1.0
0.438,0.546,1.0
0.437,0.539,2.0
0.429,0.547,0.0
0.427,0.544,0.0
0.426,0.542,0.0
0.426,0.554,0.0
0.424,0.566,0.0
0.428,0.557,0.0
0.435,0.561,0.0
0.424,0.553,0.0
0.434,0.55,1.0
0.436,0.545,0.0
0.441,0.548,0.0
0.445,0.564,0.0
0.454,0.556,1.0
0.45,0.548,0.0
0.441,0.553,0.0
0.434,0.564,0.0
0.442,0.558,0.0
0.451,0.568,0.0
0.442,0.559,1.0
0.439,0.557,2.0
0.457,0.56,2.0
0.461,0.564,1.0
0.456,0.565,2.0
0.451,0.552,1.0
0.455,0.559,1.0
0.461,0.554,1.0
0.459,0.549,1.0
0.456,0.558,2.0
0.451,0.558,2.0
0.458,0.554,2.0
0.454,0.559,2.0
0.436,0.554,1.0
0.418,0.543,1.0
0.413,0.539,0.0
0.426,0.533,1.0
0.438,0.536,1.0
0.431,0.553,1.0
0.43,0.567,1.0
0.436,0.583,0.0
0.444,0.576,0.0
0.443,0.573,0.0
0.448,0.585,0.0
0.446,0.564,0.0
0.452,0.554,0.0
0.453,0.547,1.0
0.463,0.539,1.0
0.478,0.535,0.0
0.48,0.528,0.0
0.445,0.529,0.0
0.451,0.538,0.0
0.444,0.539,0.0
0.438,0.545,0.0
0.432,0.527,0.0
0.443,0.527,0.0
0.437,0.526,0.0
0.441,0.524,0.0
0.445,0.522,0.0
0.432,0.531,0.0
0.443,0.519,1.0
0.458,0.531,1.0
0.441,0.544,2.0
0.446,0.541,1.0
0.448,0.539,1.0
0.446,0.545,2.0
0.437,0.549,1.0
0.435,0.547,2.0
0.431,0.537,1.0
0.465,0.563,1.0
0.443,0.576,1.0
0.439,0.578,1.0
0.453,0.574,1.0
0.448,0.568,1.0
0.442,0.553,2.0
0.451,0.555,1.0
0.448,0.536,1.0
0.438,0.532,0.0
0.425,0.532,1.0
0.426,0.527,1.0
0.427,0.52,1.0
0.425,0.52,1.0
0.424,0.527,0.0
0.43,0.511,0.0
0.444,0.507,0.0
0.414,0.514,0.0
0.425,0.516,0.0
0.426,0.517,0.0
0.433,0.517,0.0
0.432,0.507,0.0
0.429,0.52,0.0
0.418,0.525,1.0
0.413,0.53,0.0
0.412,0.523,1.0
0.403,0.52,0.0
0.409,0.523,0.0
0.414,0.52,1.0
0.411,0.514,0.0
0.424,0.509,1.0
0.426,0.512,1.0
0.397,0.514,1.0
0.401,0.511,0.0
0.412,0.518,0.0
0.406,0.511,0.0
0.408,0.508,0.0
0.416,0.498,0.0
0.413,0.499,0.0
0.419,0.501,0.0
0.429,0.499,0.0
0.427,0.506,0.0
0.414,0.505,0.0
0.413,0.494,0.0
0.403,0.494,1.0
0.395,0.504,0.0
0.393,0.523,0.0
0.385,0.52,0.0
0.383,0.518,1.0
0.382,0.526,0.0
0.4,0.509,0.0
0.394,0.509,0.0
0.399,0.507,0.0
0.411,0.507,0.0
0.41,0.52,0.0
0.392,0.516,0.0
0.395,0.512,0.0
0.409,0.496,0.0
0.393,0.499,0.0
0.382,0.5,0.0
0.393,0.492,0.0
0.385,0.504,0.0
0.387,0.504,0.0
0.382,0.507,0.0
0.405,0.5,0.0
0.409,0.497,0.0
0.42,0.504,0.0
0.415,0.507,0.0
0.408,0.516,1.0
0.403,0.51,1.0
0.41,0.506,1.0
0.4,0.505,1.0
0.404,0.52,1.0
0.396,0.504,0.0
0.394,0.5,0.0
0.391,0.497,0.0
0.39,0.515,0.0
0.394,0.517,0.0
0.386,0.514,0.0
0.389,0.507,0.0
0.397,0.504,0.0
0.406,0.507,0.0
0.391,0.508,0.0
0.393,0.516,0.0
0.404,0.529,0.0
0.403,0.528,0.0
0.404,0.53,0.0
0.408,0.521,0.0
0.409,0.531,0.0
0.421,0.516,0.0
0.417,0.519,0.0
0.416,0.514,0.0
0.425,0.506,0.0
0.437,0.518,0.0
0.427,0.514,0.0
0.418,0.513,0.0
0.432,0.523,0.0
0.422,0.52,0.0
0.432,0.523,0.0
0.429,0.52,0.0
0.409,0.509,0.0
0.407,0.526,0.0
0.415,0.54,0.0
0.402,0.547,0.0
0.408,0.553,0.0
0.409,0.541,0.0
0.401,0.54,0.0
0.395,0.532,0.0
0.4,0.529,0.0
0.401,0.536,0.0
0.415,0.537,0.0
0.419,0.524,0.0
0.42,0.529,0.0
0.426,0.524,0.0
0.417,0.504,0.0
0.419,0.507,0.0
0.418,0.514,0.0
0.41,0.509,0.0
0.402,0.506,0.0
0.402,0.496,0.0
0.399,0.491,1.0
0.394,0.495,0.0
0.386,0.498,1.0
0.385,0.503,0.0
0.385,0.51,0.0
0.382,0.508,0.0
0.381,0.521,0.0
0.402,0.515,0.0
0.408,0.519,0.0
0.408,0.513,0.0
0.399,0.504,0.0
0.41,0.511,0.0
0.411,0.519,0.0
0.417,0.509,0.0
0.411,0.511,0.0
0.411,0.513,0.0
0.412,0.509,0.0
0.408,0.504,0.0
0.39,0.51,0.0
0.392,0.507,0.0
0.403,0.5,0.0
0.396,0.498,0.0
0.406,0.495,0.0
0.403,0.497,0.0
0.392,0.501,0.0
0.412,0.503,0.0
0.424,0.512,0.0
0.404,0.509,0.0
0.419,0.52,0.0
0.42,0.523,0.0
0.423,0.522,0.0
0.412,0.513,0.0
0.401,0.521,0.0
0.405,0.521,0.0
0.413,0.531,0.0
0.423,0.518,0.0
0.416,0.502,0.0
0.423,0.495,0.0
0.425,0.522,0.0
0.429,0.522,0.0
0.429,0.516,0.0
0.434,0.518,0.0
0.428,0.516,0.0
0.43,0.523,0.0
0.427,0.518,0.0
0.418,0.527,0.0
0.417,0.519,0.0
0.426,0.523,0.0
0.428,0.511,0.0
0.428,0.514,0.0
0.427,0.517,0.0
0.427,0.521,0.0
0.419,0.527,0.0
0.411,0.508,0.0
0.409,0.514,0.0
0.421,0.502,0.0
0.432,0.52,0.0
0.415,0.525,0.0
0.401,0.544,0.0
0.394,0.517,0.0
0.394,0.512,0.0
0.385,0.514,0.0
0.4,0.509,0.0
0.394,0.514,0.0
0.391,0.514,0.0
0.384,0.511,0.0
0.387,0.519,0.0
0.384,0.517,0.0
0.383,0.527,0.0
0.397,0.509,0.0
0.388,0.516,0.0
0.378,0.508,0.0
0.385,0.505,0.0
0.388,0.508,0.0
0.396,0.514,0.0
0.393,0.511,0.0
0.391,0.502,0.0
0.401,0.496,0.0
0.402,0.502,0.0
0.404,0.507,0.0
0.401,0.504,0.0
0.41,0.5,0.0
0.421,0.512,0.0
0.401,0.501,0.0
0.403,0.51,0.0
0.405,0.516,0.0
0.396,0.496,0.0
0.406,0.5,0.0
0.399,0.507,0.0
0.397,0.503,0.0
0.394,0.496,0.0
0.389,0.501,0.0
0.399,0.506,0.0
0.403,0.495,0.0
0.391,0.503,0.0
0.404,0.496,0.0
0.409,0.508,0.0
0.413,0.513,1.0
0.4,0.517,0.0
0.404,0.527,0.0
0.405,0.534,0.0
0.407,0.542,1.0
0.412,0.544,0.0
0.419,0.535,1.0
0.42,0.529,0.0
0.417,0.519,0.0
0.408,0.524,0.0
0.42,0.514,0.0
0.415,0.519,0.0
0.414,0.515,0.0
0.422,0.523,0.0
0.41,0.518,0.0
0.403,0.517,0.0
0.4,0.508,0.0
0.403,0.498,0.0
0.395,0.497,0.0
0.394,0.502,0.0
0.393,0.495,0.0
0.408,0.503,0.0
0.413,0.51,0.0
0.413,0.516,0.0
0.403,0.515,0.0
0.408,0.527,0.0
0.401,0.524,0.0
0.408,0.516,0.0
0.406,0.515,0.0
0.409,0.533,0.0
0.406,0.522,0.0
0.408,0.523,0.0
0.412,0.523,0.0
0.412,0.53,0.0
0.405,0.532,0.0
0.409,0.521,0.0
0.397,0.507,0.0
0.406,0.502,0.0
0.403,0.508,0.0
0.413,0.514,0.0
0.423,0.539,0.0
0.421,0.549,0.0
0.42,0.544,0.0
0.419,0.559,0.0
0.415,0.522,0.0
0.409,0.518,0.0
0.412,0.518,0.0
0.4,0.521,1.0
0.402,0.517,0.0
0.403,0.501,0.0
0.398,0.505,0.0
0.392,0.519,0.0
0.397,0.52,0.0
0.4,0.515,0.0
0.408,0.512,0.0
0.403,0.504,0.0
0.415,0.5,0.0
0.418,0.498,0.0
0.426,0.504,0.0
0.422,0.506,0.0
0.429,0.502,0.0
0.44,0.502,0.0
0.412,0.513,0.0
0.409,0.502,0.0
0.408,0.509,0.0
0.396,0.506,0.0
0.39,0.512,1.0
0.382,0.508,0.0
0.384,0.513,0.0
0.38,0.523,0.0
0.384,0.513,0.0
0.39,0.527,0.0
0.396,0.511,0.0
0.404,0.524,0.0
0.411,0.533,0.0
0.42,0.538,0.0
0.426,0.54,0.0
0.428,0.532,0.0
0.437,0.528,0.0
0.442,0.527,0.0
0.455,0.521,0.0
0.443,0.518,0.0
0.44,0.516,0.0
0.434,0.528,0.0
0.428,0.527,0.0
0.423,0.514,0.0
0.427,0.518,0.0
0.425,0.531,0.0
0.423,0.522,0.0
0.41,0.533,0.0
0.406,0.546,0.0
0.399,0.531,0.0
0.397,0.519,0.0
0.394,0.512,0.0
0.401,0.514,0.0
0.396,0.51,0.0
0.393,0.506,0.0
0.394,0.521,0.0
0.391,0.513,0.0
0.402,0.53,0.0
0.409,0.522,0.0
0.455,0.517,0.0
0.447,0.518,0.0
0.442,0.515,0.0
0.454,0.53,0.0
0.452,0.544,0.0
0.452,0.549,1.0
0.447,0.549,1.0
0.455,0.558,1.0
0.433,0.551,1.0
0.437,0.545,1.0
0.425,0.56,1.0
0.428,0.545,1.0
0.436,0.54,2.0
0.446,0.543,1.0
0.448,0.538,1.0
0.44,0.538,1.0
0.434,0.539,1.0
0.445,0.544,1.0
0.446,0.543,1.0
0.457,0.54,1.0
0.44,0.551,0.0
0.431,0.546,1.0
0.435,0.553,1.0
0.432,0.541,1.0
0.419,0.539,1.0
0.412,0.533,0.0
0.41,0.525,0.0
0.402,0.541,0.0
0.407,0.516,0.0
0.415,0.512,0.0
0.407,0.528,0.0
0.409,0.543,0.0
0.401,0.552,1.0
0.397,0.55,1.0
0.399,0.54,1.0
0.405,0.537,0.0
0.397,0.525,0.0
0.399,0.534,0.0
0.421,0.529,0.0
0.406,0.529,1.0
0.411,0.53,1.0
0.411,0.527,2.0
0.416,0.54,1.0
0.416,0.526,1.0
0.414,0.517,0.0
0.425,0.519,0.0
0.42,0.523,0.0
0.415,0.525,0.0
0.425,0.543,0.0
0.423,0.517,0.0
0.417,0.528,0.0
0.417,0.536,0.0
0.433,0.542,0.0
0.434,0.532,0.0
0.433,0.534,0.0
0.423,0.528,0.0
0.417,0.517,0.0
0.423,0.517,0.0
0.43,0.525,0.0
0.419,0.52,0.0
0.41,0.519,0.0
0.409,0.514,0.0
0.416,0.506,0.0
0.408,0.51,0.0
0.411,0.527,0.0
0.399,0.533,0.0
0.402,0.522,0.0
0.401,0.513,0.0
0.418,0.509,0.0
0.422,0.506,0.0
0.427,0.513,0.0
0.422,0.506,0.0
0.424,0.501,0.0
0.425,0.498,0.0
0.42,0.503,0.0
0.414,0.5,0.0
0.401,0.495,0.0
0.405,0.506,0.0
0.413,0.502,0.0
0.412,0.518,0.0
0.419,0.529,0.0
0.421,0.507,0.0
0.418,0.504,0.0
0.415,0.517,0.0
0.401,0.507,0.0
0.387,0.513,0.0
0.381,0.509,0.0
0.379,0.509,0.0
0.384,0.521,0.0
0.378,0.504,0.0
