group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.277,0.48,0.0
0.285,0.476,0.0
0.29,0.465,0.0
0.293,0.465,0.0
0.291,0.444,0.0
0.29,0.421,0.0
0.283,0.413,0.0
0.289,0.419,0.0
0.28,0.429,0.0
0.273,0.4,0.0
0.275,0.398,0.0
0.271,0.396,0.0
0.269,0.407,0.0
0.279,0.413,0.0
0.286,0.416,0.0
0.281,0.413,0.0
0.272,0.417,0.0
0.287,0.412,0.0
0.289,0.419,0.0
0.289,0.403,0.0
0.286,0.414,0.0
0.279,0.419,0.0
0.272,0.415,0.0
0.272,0.414,0.0
0.269,0.424,0.0
0.269,0.431,0.0
0.282,0.429,0.0
0.279,0.424,0.0
0.276,0.427,0.0
0.27,0.419,0.0
0.271,0.434,0.0
0.27,0.434,0.0
0.267,0.432,0.0
0.264,0.438,0.0
0.27,0.432,0.0
0.276,0.43,0.0
0.292,0.434,1.0
0.274,0.43,0.0
0.281,0.46,0.0
0.274,0.462,0.0
0.281,0.453,0.0
0.273,0.445,0.0
0.273,0.451,0.0
0.27,0.45,0.0
0.267,0.451,0.0
0.277,0.459,0.0
0.268,0.464,0.0
0.277,0.476,0.0
0.278,0.477,0.0
0.273,0.459,0.0
0.27,0.464,0.0
0.28,0.467,0.0
0.276,0.459,0.0
0.284,0.444,0.0
0.287,0.442,0.0
0.291,0.451,1.0
0.292,0.443,1.0
0.292,0.443,1.0
0.289,0.449,0.0
0.297,0.454,0.0
0.311,0.44,0.0
0.299,0.445,0.0
0.288,0.463,0.0
0.298,0.47,0.0
0.286,0.476,0.0
0.294,0.471,0.0
0.291,0.468,0.0
0.289,0.465,0.0
0.291,0.464,0.0
0.296,0.459,0.0
0.295,0.467,0.0
0.288,0.467,0.0
0.293,0.463,0.0
0.291,0.462,1.0
0.287,0.451,1.0
0.281,0.449,0.0
0.293,0.448,0.0
0.301,0.46,0.0
0.304,0.447,0.0
0.301,0.44,0.0
0.295,0.444,0.0
0.293,0.445,0.0
0.293,0.434,0.0
0.285,0.44,0.0
0.295,0.454,0.0
0.303,0.448,0.0
0.297,0.457,0.0
0.304,0.443,0.0
0.308,0.434,0.0
0.294,0.43,0.0
0.283,0.433,0.0
0.283,0.425,0.0
0.295,0.431,0.0
0.286,0.436,0.0
0.291,0.427,0.0
0.281,0.423,0.0
0.281,0.416,0.0
0.274,0.412,0.0
0.272,0.42,1.0
0.274,0.424,0.0
0.268,0.429,0.0
0.271,0.442,0.0
0.265,0.431,1.0
0.261,0.424,1.0
0.268,0.424,1.0
0.269,0.427,0.0
0.26,0.437,0.0
0.262,0.438,0.0
0.267,0.448,0.0
0.273,0.445,0.0
0.269,0.446,0.0
0.271,0.446,0.0
0.26,0.452,0.0
0.264,0.459,0.0
0.26,0.458,0.0
0.266,0.455,0.0
0.272,0.436,0.0
0.267,0.437,0.0
0.272,0.426,0.0
0.272,0.431,0.0
0.27,0.432,0.0
0.282,0.437,1.0
0.293,0.442,1.0
0.292,0.436,0.0
0.289,0.438,0.0
0.293,0.456,0.0
0.292,0.452,0.0
0.282,0.465,0.0
0.284,0.456,0.0
0.282,0.463,0.0
0.277,0.459,0.0
0.281,0.449,0.0
0.273,0.44,0.0
0.279,0.442,0.0
0.277,0.446,0.0
0.275,0.433,0.0
0.265,0.422,0.0
0.278,0.417,0.0
0.268,0.422,0.0
0.266,0.424,0.0
0.271,0.418,0.0
0.303,0.422,0.0
0.301,0.423,0.0
0.286,0.42,0.0
0.292,0.428,0.0
0.289,0.43,0.0
0.286,0.43,0.0
0.289,0.449,0.0
0.3,0.457,0.0
0.302,0.443,0.0
0.296,0.455,0.0
0.28,0.45,0.0
0.26,0.445,0.0
0.263,0.447,0.0
0.264,0.44,0.0
0.261,0.442,0.0
0.257,0.436,0.0
0.262,0.443,0.0
0.257,0.43,0.0
0.263,0.427,0.0
0.265,0.437,0.0
0.261,0.431,0.0
0.265,0.438,0.0
0.291,0.431,0.0
0.296,0.436,0.0
0.297,0.433,0.0
0.292,0.431,0.0
0.286,0.428,0.0
0.288,0.417,0.0
0.281,0.415,0.0
0.274,0.407,0.0
0.28,0.417,0.0
0.28,0.416,0.0
0.27,0.412,0.0
0.265,0.411,0.0
0.27,0.415,0.0
0.273,0.413,0.0
0.283,0.414,0.0
0.281,0.417,0.0
0.285,0.422,0.0
0.3,0.43,0.0
0.304,0.432,0.0
0.315,0.421,0.0
0.306,0.429,0.0
0.303,0.439,0.0
0.296,0.443,0.0
0.296,0.425,0.0
0.289,0.428,0.0
0.286,0.418,0.0
0.278,0.426,0.0
0.275,0.448,0.0
0.269,0.443,0.0
0.269,0.444,0.0
0.285,0.458,0.0
0.282,0.452,0.0
0.278,0.442,0.0
0.276,0.447,0.0
0.277,0.454,0.0
0.263,0.448,0.0
0.266,0.442,0.0
0.268,0.431,0.0
0.272,0.436,0.0
0.284,0.46,0.0
0.281,0.45,0.0
0.297,0.452,0.0
0.293,0.459,0.0
0.289,0.46,0.0
0.285,0.462,0.0
0.279,0.462,0.0
0.281,0.457,0.0
0.287,0.444,0.0
0.288,0.441,0.0
0.294,0.426,0.0
0.286,0.419,0.0
0.296,0.404,0.0
0.298,0.401,0.0
0.294,0.402,0.0
0.29,0.413,0.0
0.294,0.415,0.0
0.287,0.429,0.0
0.292,0.44,0.0
0.274,0.436,0.0
0.28,0.441,0.0
0.274,0.442,0.0
0.275,0.454,0.0
0.27,0.446,0.0
0.269,0.44,0.0
0.265,0.434,0.0
0.28,0.423,0.0
0.277,0.419,0.0
0.279,0.402,0.0
0.273,0.405,0.0
0.279,0.4,0.0
0.276,0.399,0.0
0.277,0.393,0.0
0.267,0.392,0.0
0.27,0.409,0.0
0.273,0.411,0.0
0.263,0.407,0.0
0.266,0.413,0.0
0.267,0.407,0.0
0.266,0.408,0.0
0.273,0.398,0.0
0.269,0.401,0.0
0.279,0.401,0.0
0.278,0.384,0.0
0.278,0.382,0.0
0.284,0.377,0.0
0.29,0.386,0.0
0.29,0.401,0.0
0.279,0.408,0.0
0.276,0.415,0.0
0.283,0.428,0.0
0.286,0.431,0.0
0.281,0.433,0.0
0.276,0.444,0.0
0.274,0.438,0.0
0.278,0.44,0.0
0.279,0.423,0.0
0.279,0.409,0.0
0.277,0.407,0.0
0.27,0.413,0.0
0.273,0.401,0.0
0.271,0.411,0.0
0.274,0.414,0.0
0.275,0.414,0.0
0.276,0.407,0.0
0.285,0.408,0.0
0.279,0.412,0.0
0.289,0.415,0.0
0.278,0.408,0.0
0.281,0.408,0.0
0.295,0.406,0.0
0.292,0.394,0.0
0.293,0.385,0.0
0.282,0.391,0.0
0.276,0.4,0.0
0.273,0.407,0.0
0.281,0.408,0.0
0.26,0.408,0.0
0.256,0.425,0.0
0.263,0.424,0.0
0.276,0.427,0.0
0.279,0.44,0.0
0.281,0.452,0.0
0.279,0.449,0.0
0.292,0.441,0.0
0.294,0.43,0.0
0.291,0.433,0.0
0.286,0.426,0.0
0.288,0.405,0.0
0.286,0.401,0.0
0.283,0.408,0.0
0.282,0.394,0.0
0.289,0.397,0.0
0.28,0.383,0.0
0.281,0.384,0.0
0.285,0.381,0.0
0.291,0.389,0.0
0.278,0.395,0.0
0.273,0.398,0.0
0.276,0.398,0.0
0.275,0.391,0.0
0.275,0.391,0.0
0.277,0.401,0.0
0.268,0.397,0.0
0.276,0.391,0.0
0.274,0.388,0.0
0.277,0.384,0.0
0.276,0.387,0.0
0.282,0.392,0.0
0.275,0.402,0.0
0.27,0.403,0.0
