features,n_samples,SHD,error rate,accuracy,precision,recall,f1score,search causal order time,total excution time,dataset,seq
5,200,5,0.2,0.8,0.857142857,0.6,0.705882353,0,0.029391289,timeseries1.csv,1
10,200,17,0.17,0.83,0.611111111,0.523809524,0.564102564,0.004002094,0.080304623,timeseries2.csv,2
15,200,26,0.115555556,0.884444444,0.620689655,0.545454545,0.580645161,0.011279821,0.163930416,timeseries3.csv,3
50,200,109,0.0436,0.9564,0.511904762,0.387387387,0.441025641,0.222758293,3.329806328,timeseries4.csv,4
5,1200,10,0.4,0.6,0.5,0.5,0.5,0,0.085118294,timeseries5.csv,5
10,1200,19,0.19,0.81,0.55,0.523809524,0.536585366,0.004007101,0.25060606,timeseries6.csv,6
5,5000,9,0.36,0.64,0.555555556,0.5,0.526315789,0,0.619092226,timeseries7.csv,7
5,200,3,0.12,0.88,0.818181818,0.9,0.857142857,0.004098177,0.053875446,timeseries8.csv,8
5,5000,10,0.4,0.6,0.5,0.7,0.583333333,0.000999928,0.582846403,timeseries9.csv,9
5,200,2,0.08,0.92,0.9,0.9,0.9,0,0.033111095,timeseries10.csv,10
10,200,21,0.21,0.79,0.5,0.523809524,0.511627907,0.003507376,0.078621864,timeseries11.csv,11
10,200,13,0.13,0.87,0.722222222,0.619047619,0.666666667,0.003505707,0.090792894,timeseries12.csv,12
5,200,8,0.32,0.68,0.777777778,0.538461538,0.636363636,0.001000166,0.026013136,timeseries13.csv,13
5,200,8,0.32,0.68,0.6,0.6,0.6,0.000982046,0.037786961,timeseries14.csv,14
5,200,10,0.4,0.6,0.5,0.5,0.5,0,0.031954527,timeseries15.csv,15
5,200,9,0.36,0.64,0.636363636,0.583333333,0.608695652,0,0.024690866,timeseries16.csv,16
10,200,19,0.19,0.81,0.55,0.523809524,0.536585366,0.005111217,0.073860168,timeseries17.csv,17
5,200,9,0.36,0.64,0.555555556,0.5,0.526315789,0.000504494,0.030455828,timeseries18.csv,18
5,2400,5,0.2,0.8,0.727272727,0.8,0.761904762,0.000998735,0.189150572,timeseries19.csv,19
5,2400,5,0.2,0.8,0.727272727,0.8,0.761904762,0,0.182754755,timeseries20.csv,20
5,200,5,0.2,0.8,0.857142857,0.6,0.705882353,0.001002312,0.026438475,timeseries21.csv,21
5,200,4,0.16,0.84,0.875,0.7,0.777777778,0.001003265,0.029016733,timeseries22.csv,22
5,200,13,0.52,0.48,0.384615385,0.5,0.434782609,0,0.027005434,timeseries23.csv,23
5,200,12,0.48,0.52,0.375,0.3,0.333333333,0.001506567,0.02601552,timeseries24.csv,24
5,100,5,0.2,0.8,0.777777778,0.7,0.736842105,0.000999451,0.021955252,timeseries25.csv,25
5,50,6,0.24,0.76,0.833333333,0.5,0.625,0.001502991,0.017066002,timeseries26.csv,26
5,50,4,0.16,0.84,0.875,0.7,0.777777778,0.001511335,0.021027565,timeseries27.csv,27
5,100,10,0.4,0.6,0.5,0.5,0.5,0.000999689,0.034281731,timeseries28.csv,28
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,0.254612698,,,,0.614160484,0.010433876,0.221320374,,
